feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
tfidf_char_svd,leiden,cosine,k=15;resolution=0.65;seed=7,15.0,0.65,7.0,5509.0,30.0,0.33091305137048466,0.0,0.04315016212894564,0.2310840475761342,0.25059539833238825,0.04315016212894564,0.2310840475761342,0.25059539833238825,0.04315016212894564,0.2310840475761342,0.25059539833238825,0.13485056775560272,0.10340007820584728,0.1937962330636848,0.14878082128812814,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=10;resolution=2.5;seed=1,10.0,2.5,1.0,5509.0,42.0,0.056816119077872575,0.0,0.23549933751295743,0.3793399578277939,0.39869411582047076,0.23549933751295743,0.3793399578277939,0.39869411582047076,0.23549933751295743,0.3793399578277939,0.39869411582047076,0.26143552453051777,0.43410822745118255,0.1870383633796196,0.14847842668066727,,
dense_bge_pca,leiden,cosine,k=10;resolution=2.0;seed=1,10.0,2.0,1.0,5509.0,35.0,0.07678344527137411,0.0,0.24522822687913007,0.365874262188855,0.38273570656929,0.24522822687913007,0.365874262188855,0.38273570656929,0.24522822687913007,0.365874262188855,0.38273570656929,0.2787672715130712,0.3957829407749489,0.21515528387124236,0.14818070144644677,,
tfidf_char_svd,leiden,cosine,k=50;resolution=0.8;seed=7,50.0,0.8,7.0,5509.0,22.0,0.2766382283536032,0.0,0.059647272041458275,0.2146408228825083,0.22940654521764087,0.059647272041458275,0.2146408228825083,0.22940654521764087,0.059647272041458275,0.2146408228825083,0.22940654521764087,0.14997080272961924,0.11731245661347721,0.20782739532843636,0.14816814303927323,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=15;resolution=2.5;seed=42,15.0,2.5,42.0,5509.0,39.0,0.05663459793065892,0.0,0.2377100561930052,0.3755064551726866,0.39374763482494873,0.2377100561930052,0.3755064551726866,0.39374763482494873,0.2377100561930052,0.3755064551726866,0.39374763482494873,0.2665521673358432,0.42025320995624416,0.195171311024868,0.14816165006584472,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=15;resolution=2.5;seed=1,15.0,2.5,1.0,5509.0,37.0,0.058631330550009075,0.0,0.23713397795813393,0.37588714261347184,0.39328811880971704,0.23713397795813393,0.37588714261347184,0.39328811880971704,0.23713397795813393,0.37588714261347184,0.39328811880971704,0.26706886549684405,0.40438027169771656,0.1993705733316307,0.14805342471193264,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=30;resolution=2.5;seed=42,30.0,2.5,42.0,5509.0,40.0,0.056816119077872575,0.0,0.23638809684333087,0.3739066814163491,0.3926286753603292,0.23638809684333087,0.3739066814163491,0.3926286753603292,0.23638809684333087,0.3739066814163491,0.3926286753603292,0.2699657422222673,0.42861312516858363,0.19703497657925761,0.14784808262080487,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=30;resolution=2.5;seed=7,30.0,2.5,7.0,5509.0,41.0,0.05536394990016337,0.0,0.24008763106647038,0.3696703900365326,0.3889408311351679,0.24008763106647038,0.3696703900365326,0.3889408311351679,0.24008763106647038,0.3696703900365326,0.3889408311351679,0.27193420962975084,0.43604578734006594,0.19757445871342302,0.1475824170369898,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=10;resolution=2.0;seed=1,10.0,2.0,1.0,5509.0,35.0,0.08295516427663822,0.0,0.23634248593839885,0.37240655241951987,0.389025493804298,0.23634248593839885,0.37240655241951987,0.389025493804298,0.23634248593839885,0.37240655241951987,0.389025493804298,0.2722002628697132,0.3899153022061463,0.2090794010360278,0.14708048229044077,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=20;resolution=2.5;seed=7,20.0,2.5,7.0,5509.0,43.0,0.06062806316935923,0.0,0.2340801367981794,0.3752593339699928,0.39519193182749196,0.2340801367981794,0.3752593339699928,0.39519193182749196,0.2340801367981794,0.3752593339699928,0.39519193182749196,0.26381802349483197,0.4391749599615458,0.18853743894968472,0.14683749548929179,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=20;resolution=0.5;seed=7,20.0,0.5,7.0,5509.0,13.0,0.44472681067344344,0.0,0.09558041626112256,0.26152941212303094,0.2709868850472661,0.09558041626112256,0.26152941212303094,0.2709868850472661,0.09558041626112256,0.26152941212303094,0.2709868850472661,0.214167973379832,0.1343240684464527,0.5280438174236999,0.14683351256728244,,
