year,month,archive_url,candidate_count_total_month,candidate_count_tagged_month,selected_count
2022,1,https://www.anekdot.ru/an/an2201/j2201;100.html,100,15,15
2022,2,https://www.anekdot.ru/an/an2202/j2202;100.html,100,8,8
2022,3,https://www.anekdot.ru/an/an2203/j2203;100.html,100,8,8
2022,4,https://www.anekdot.ru/an/an2204/j2204;100.html,100,14,14
2022,5,https://www.anekdot.ru/an/an2205/j2205;100.html,100,8,8
2022,6,https://www.anekdot.ru/an/an2206/j2206;100.html,100,9,9
2022,7,https://www.anekdot.ru/an/an2207/j2207;100.html,100,6,6
2022,8,https://www.anekdot.ru/an/an2208/j2208;100.html,100,6,6
2022,9,https://www.anekdot.ru/an/an2209/j2209;100.html,100,28,28
2022,10,https://www.anekdot.ru/an/an2210/j2210;100.html,100,16,16
2022,11,https://www.anekdot.ru/an/an2211/j2211;100.html,100,8,8
2022,12,https://www.anekdot.ru/an/an2212/j2212;100.html,100,17,17
2023,1,https://www.anekdot.ru/an/an2301/j2301;100.html,100,7,7
2023,2,https://www.anekdot.ru/an/an2302/j2302;100.html,100,8,8
2023,3,https://www.anekdot.ru/an/an2303/j2303;100.html,100,8,8
2023,4,https://www.anekdot.ru/an/an2304/j2304;100.html,100,1,1
2023,5,https://www.anekdot.ru/an/an2305/j2305;100.html,100,9,9
2023,6,https://www.anekdot.ru/an/an2306/j2306;100.html,100,6,6
2023,7,https://www.anekdot.ru/an/an2307/j2307;100.html,21,1,1
2023,8,https://www.anekdot.ru/an/an2308/j2308;100.html,100,10,10
2023,9,https://www.anekdot.ru/an/an2309/j2309;100.html,100,1,1
2023,10,https://www.anekdot.ru/an/an2310/j2310;100.html,100,3,3
2023,11,https://www.anekdot.ru/an/an2311/j2311;100.html,100,2,2
2023,12,https://www.anekdot.ru/an/an2312/j2312;100.html,100,11,11
2024,1,https://www.anekdot.ru/an/an2401/j2401;100.html,100,5,5
2024,2,https://www.anekdot.ru/an/an2402/j2402;100.html,100,9,9
2024,3,https://www.anekdot.ru/an/an2403/j2403;100.html,100,6,6
2024,4,https://www.anekdot.ru/an/an2404/j2404;100.html,100,7,7
2024,5,https://www.anekdot.ru/an/an2405/j2405;100.html,13,0,0
2024,6,https://www.anekdot.ru/an/an2406/j2406;100.html,10,0,0
2024,7,https://www.anekdot.ru/an/an2407/j2407;100.html,18,2,2
2024,8,https://www.anekdot.ru/an/an2408/j2408;100.html,100,10,10
2024,9,https://www.anekdot.ru/an/an2409/j2409;100.html,100,10,10
